,Network,Date,Time,Program,Length,Rating,Minute_In_Commercial,Total_Loss_perc
179,DKN,10/5/15,10:59 PM,BLINDSPOT,60,2.22739592,1,0
180,DKN,10/12/15,10:00 PM,BLINDSPOT,60,3.173468084,1,19.4382383
181,DKN,10/12/15,10:01 PM,BLINDSPOT,60,2.730299761,0,6.898625524
182,DKN,10/12/15,10:02 PM,BLINDSPOT,60,2.665932579,0,4.056111962
183,DKN,10/12/15,10:03 PM,BLINDSPOT,60,2.620851072,0,5.242574287
184,DKN,10/12/15,10:04 PM,BLINDSPOT,60,2.4856775,0,2.84885115
185,DKN,10/12/15,10:05 PM,BLINDSPOT,60,2.469622749,0,2.724857077
186,DKN,10/12/15,10:06 PM,BLINDSPOT,60,2.430202104,0,1.541434148
187,DKN,10/12/15,10:07 PM,BLINDSPOT,60,2.433860149,0,1.749099827
188,DKN,10/12/15,10:08 PM,BLINDSPOT,60,2.419647167,0,2.978281504
189,DKN,10/12/15,10:09 PM,BLINDSPOT,60,2.376391192,0,1.948575481
190,DKN,10/12/15,10:10 PM,BLINDSPOT,60,2.377374358,0,2.565937299
191,DKN,10/12/15,10:11 PM,BLINDSPOT,60,2.335423791,0,1.90615373
192,DKN,10/12/15,10:12 PM,BLINDSPOT,60,2.334280007,0,1.389500417
193,DKN,10/12/15,10:13 PM,BLINDSPOT,60,2.364881691,0,3.882392854
194,DKN,10/12/15,10:14 PM,BLINDSPOT,60,2.284399621,1,10.06650271
195,DKN,10/12/15,10:15 PM,BLINDSPOT,60,2.074479901,1,2.893373781
196,DKN,10/12/15,10:16 PM,BLINDSPOT,60,2.076253098,1,2.618893064
197,DKN,10/12/15,10:17 PM,BLINDSPOT,60,2.101402052,1,1.900752378
198,DKN,10/12/15,10:18 PM,BLINDSPOT,60,2.145424826,0,1.109724131
199,DKN,10/12/15,10:19 PM,BLINDSPOT,60,2.174971606,0,1.73095945
200,DKN,10/12/15,10:20 PM,BLINDSPOT,60,2.17697009,0,1.444927421
201,DKN,10/12/15,10:21 PM,BLINDSPOT,60,2.177169045,0,1.059936593
202,DKN,10/12/15,10:22 PM,BLINDSPOT,60,2.198177791,0,2.315738374
203,DKN,10/12/15,10:23 PM,BLINDSPOT,60,2.160412017,0,1.088021938
204,DKN,10/12/15,10:24 PM,BLINDSPOT,60,2.168993203,0,1.737032002
205,DKN,10/12/15,10:25 PM,BLINDSPOT,60,2.167085217,1,8.329683769
206,DKN,10/12/15,10:26 PM,BLINDSPOT,60,1.987285509,1,2.86533093
207,DKN,10/12/15,10:27 PM,BLINDSPOT,60,1.969570751,0,2.360078828
208,DKN,10/12/15,10:28 PM,BLINDSPOT,60,1.955013614,0,2.049772512
209,DKN,10/12/15,10:29 PM,BLINDSPOT,60,1.951949249,1,1.147860887
210,DKN,10/12/15,10:30 PM,BLINDSPOT,60,2.029673023,1,1.078139348
211,DKN,10/12/15,10:31 PM,BLINDSPOT,60,2.101247253,0,0.377662541
212,DKN,10/12/15,10:32 PM,BLINDSPOT,60,2.159040698,0,1.391723191
213,DKN,10/12/15,10:33 PM,BLINDSPOT,60,2.178393267,0,1.824725183
214,DKN,10/12/15,10:34 PM,BLINDSPOT,60,2.183811792,0,1.608578325
215,DKN,10/12/15,10:35 PM,BLINDSPOT,60,2.193643844,0,6.467179385
216,DKN,10/12/15,10:36 PM,BLINDSPOT,60,2.073840624,1,4.191588928
217,DKN,10/12/15,10:37 PM,BLINDSPOT,60,2.045428052,1,2.895435391
218,DKN,10/12/15,10:38 PM,BLINDSPOT,60,2.035797104,1,1.825272786
219,DKN,10/12/15,10:39 PM,BLINDSPOT,60,2.065761221,1,1.778312659
220,DKN,10/12/15,10:40 PM,BLINDSPOT,60,2.102242458,1,1.372288408
221,DKN,10/12/15,10:41 PM,BLINDSPOT,60,2.127382565,0,1.703198621
222,DKN,10/12/15,10:42 PM,BLINDSPOT,60,2.126750158,0,1.203212385
223,DKN,10/12/15,10:43 PM,BLINDSPOT,60,2.12578254,0,1.130695568
224,DKN,10/12/15,10:44 PM,BLINDSPOT,60,2.133249755,0,2.470123825
225,DKN,10/12/15,10:45 PM,BLINDSPOT,60,2.098042617,1,7.671233192
226,DKN,10/12/15,10:46 PM,BLINDSPOT,60,1.937798577,1,2.53065023
227,DKN,10/12/15,10:47 PM,BLINDSPOT,60,1.964184972,1,1.696345048
228,DKN,10/12/15,10:48 PM,BLINDSPOT,60,2.013596743,1,1.0839715
229,DKN,10/12/15,10:49 PM,BLINDSPOT,60,2.057000804,1,2.598864956
230,DKN,10/12/15,10:50 PM,BLINDSPOT,60,2.055888091,0,1.402508341
231,DKN,10/12/15,10:51 PM,BLINDSPOT,60,2.084440142,0,1.639724267
232,DKN,10/12/15,10:52 PM,BLINDSPOT,60,2.070756211,0,1.761037831
233,DKN,10/12/15,10:53 PM,BLINDSPOT,60,2.072556395,0,2.397063049
234,DKN,10/12/15,10:54 PM,BLINDSPOT,60,2.080578306,0,2.206118014
235,DKN,10/12/15,10:55 PM,BLINDSPOT,60,2.074099807,0,0.907145292
236,DKN,10/12/15,10:56 PM,BLINDSPOT,60,2.086175342,0,0.662424384
237,DKN,10/12/15,10:57 PM,BLINDSPOT,60,2.111152653,1,6.064250817
238,DKN,10/12/15,10:58 PM,BLINDSPOT,60,2.058843842,1,5.119215857
239,DKN,10/12/15,10:59 PM,BLINDSPOT,60,2.070063632,1,0
240,DKN,10/19/15,10:00 PM,BLINDSPOT,60,2.925958494,0,19.29838584
241,DKN,10/19/15,10:01 PM,BLINDSPOT,60,2.615369481,0,10.61585499
242,DKN,10/19/15,10:02 PM,BLINDSPOT,60,2.436653525,0,6.216727579
243,DKN,10/19/15,10:03 PM,BLINDSPOT,60,2.361784455,0,3.221387857
244,DKN,10/19/15,10:04 PM,BLINDSPOT,60,2.360033895,0,4.815831535
245,DKN,10/19/15,10:05 PM,BLINDSPOT,60,2.288022542,0,2.519251211
246,DKN,10/19/15,10:06 PM,BLINDSPOT,60,2.268123302,0,2.12231613
247,DKN,10/19/15,10:07 PM,BLINDSPOT,60,2.255846987,0,1.703693359
248,DKN,10/19/15,10:08 PM,BLINDSPOT,60,2.273560351,1,10.32406754
249,DKN,10/19/15,10:09 PM,BLINDSPOT,60,2.050286203,1,4.7412598
250,DKN,10/19/15,10:10 PM,BLINDSPOT,60,2.027686784,1,3.769316202
251,DKN,10/19/15,10:11 PM,BLINDSPOT,60,2.009308467,1,2.483510495
252,DKN,10/19/15,10:12 PM,BLINDSPOT,60,2.049361122,1,3.199200033
253,DKN,10/19/15,10:13 PM,BLINDSPOT,60,2.096431124,0,2.008989725
254,DKN,10/19/15,10:14 PM,BLINDSPOT,60,2.127965453,0,1.614751885
255,DKN,10/19/15,10:15 PM,BLINDSPOT,60,2.116343412,0,2.197120749
256,DKN,10/19/15,10:16 PM,BLINDSPOT,60,2.120233677,0,1.383099177
257,DKN,10/19/15,10:17 PM,BLINDSPOT,60,2.127023768,0,1.286274361
258,DKN,10/19/15,10:18 PM,BLINDSPOT,60,2.124864637,0,1.751261415
259,DKN,10/19/15,10:19 PM,BLINDSPOT,60,2.101530835,1,8.309231718
260,DKN,10/19/15,10:20 PM,BLINDSPOT,60,1.971542055,1,4.079539485
261,DKN,10/19/15,10:21 PM,BLINDSPOT,60,1.94088221,1,2.736326579
262,DKN,10/19/15,10:22 PM,BLINDSPOT,60,1.952734559,1,1.435058714
263,DKN,10/19/15,10:23 PM,BLINDSPOT,60,1.999224333,1,1.557955553
264,DKN,10/19/15,10:24 PM,BLINDSPOT,60,2.039277804,0,2.299609498
265,DKN,10/19/15,10:25 PM,BLINDSPOT,60,2.047836278,0,1.900339808
266,DKN,10/19/15,10:26 PM,BLINDSPOT,60,2.050407447,0,1.941017304
267,DKN,10/19/15,10:27 PM,BLINDSPOT,60,2.038862328,0,1.048603882
268,DKN,10/19/15,10:28 PM,BLINDSPOT,60,2.054882884,0,2.825067687
269,DKN,10/19/15,10:29 PM,BLINDSPOT,60,2.009587967,0,1.100556065
270,DKN,10/19/15,10:30 PM,BLINDSPOT,60,2.001009615,0,1.04489073
271,DKN,10/19/15,10:31 PM,BLINDSPOT,60,2.006114333,1,10.14737524
272,DKN,10/19/15,10:32 PM,BLINDSPOT,60,1.809740578,1,3.587905677
273,DKN,10/19/15,10:33 PM,BLINDSPOT,60,1.774126386,0,2.055297203
274,DKN,10/19/15,10:34 PM,BLINDSPOT,60,1.81585536,0,1.227104858
275,DKN,10/19/15,10:35 PM,BLINDSPOT,60,1.891273155,1,2.111057944
276,DKN,10/19/15,10:36 PM,BLINDSPOT,60,1.959431015,0,2.023162932
277,DKN,10/19/15,10:37 PM,BLINDSPOT,60,1.970271494,0,2.068854575
278,DKN,10/19/15,10:38 PM,BLINDSPOT,60,1.959266677,0,1.315427535
279,DKN,10/19/15,10:39 PM,BLINDSPOT,60,1.954025551,0,1.018934831
280,DKN,10/19/15,10:40 PM,BLINDSPOT,60,1.955155192,0,0.561814632
281,DKN,10/19/15,10:41 PM,BLINDSPOT,60,1.9701676,0,0.316056627
282,DKN,10/19/15,10:42 PM,BLINDSPOT,60,1.988146522,1,8.995585824
283,DKN,10/19/15,10:43 PM,BLINDSPOT,60,1.829149007,1,1.69303438
284,DKN,10/19/15,10:44 PM,BLINDSPOT,60,1.843221295,1,1.791769274
285,DKN,10/19/15,10:45 PM,BLINDSPOT,60,1.879773321,1,2.182612996
286,DKN,10/19/15,10:46 PM,BLINDSPOT,60,1.901956742,0,0.855149554
287,DKN,10/19/15,10:47 PM,BLINDSPOT,60,1.981433759,0,1.13069146
